Date,Oil Export (x1000 m3 per day),Oil and gas extraction (Billion CA Dollars),CAD/USD
2011-02-01,351.64540999999997,78.514,1.0027702850776503
2011-03-01,340.48940000000005,78.929,1.03110083527567
2011-04-01,307.11664,80.144,1.0332456524964515
2011-05-01,327.77783,76.295,1.053751240997436
2011-06-01,311.6873,77.398,1.032979638674106
2011-07-01,350.25546999999995,79.747,1.0375250644954916
2011-08-01,330.47103999999996,81.353,1.051192299286796
2011-09-01,371.92282,81.785,1.0237207969482052
2011-10-01,345.82192,80.509,0.9573200992823312
2011-11-01,360.90987,79.795,0.9835438469438412
2011-12-01,356.24541999999997,80.06,0.9822364589277124
2012-01-01,349.73082,81.115,0.9791146424422904
2012-02-01,381.4252,79.625,1.00106374895943
2012-03-01,378.63370000000003,77.385,1.0146341463177062
2012-04-01,350.84958,79.257,1.0033806625724229
2012-05-01,360.38777000000005,79.86,1.0176357335027737
2012-06-01,391.97947999999997,76.936,0.963107706729418
2012-07-01,371.47452000000004,76.188,0.9781679745475136
2012-08-01,368.92147,75.201,0.9982142856800612
2012-09-01,359.78178,75.403,1.0099303275910942
2012-10-01,352.16225,77.325,1.0165785110841972
2012-11-01,370.50226000000004,77.714,1.000462641638309
2012-12-01,429.00359000000003,78.923,1.0063546186920715
2013-01-01,426.78848999999997,78.369,1.0043388901366992
2013-02-01,427.61318,79.293,1.0005133093513094
2013-03-01,433.91567,80.715,0.9674778596556892
2013-04-01,398.3443,80.29,0.983411412311718
2013-05-01,399.36568,79.506,0.989328691448754
2013-06-01,409.60285999999996,80.762,0.9681405388999232
2013-07-01,382.11796999999996,81.584,0.9506343882152012
2013-08-01,413.88834,84.012,0.9710931768153629
2013-09-01,404.15274,83.471,0.9496986222355978
2013-10-01,414.23767,83.358,0.9707778254909684
2013-11-01,440.49235,84.845,0.9590257065734892
2013-12-01,439.14814,85.563,0.9456023343242108
2014-01-01,439.17397,85.463,0.9400177220225108
2014-02-01,432.41371999999996,86.395,0.8932654814661971
2014-03-01,456.1279,88.173,0.8994595298884048
2014-04-01,429.23686,89.244,0.9047962731812113
2014-05-01,451.57484000000005,90.025,0.9117240471274692
2014-06-01,445.41734,91.128,0.922821295331326
2014-07-01,461.49225,90.037,0.9383697813136196
2014-08-01,467.28434000000004,87.856,0.9152716091308664
2014-09-01,467.54694,90.165,0.9205804009177212
2014-10-01,449.04946,91.911,0.8913643114554551
2014-11-01,463.41203,91.755,0.8869688385092733
2014-12-01,479.30777,90.564,0.8772954337864552
2015-01-01,493.10939,94.28,0.8633293038718681
2015-02-01,484.49444,95.122,0.7892899531913684
2015-03-01,481.70223,93.014,0.8031439799708177
2015-04-01,499.22894,91.428,0.7889524647578272
2015-05-01,445.98061,88.247,0.8319732937637628
2015-06-01,479.70925,90.404,0.8004095663094095
2015-07-01,456.99485999999996,95.13,0.7984462667448885
2015-08-01,508.95324,95.819,0.7663871418552409
2015-09-01,517.65156,90.213,0.756327409792262
2015-10-01,456.96451,90.918,0.7536320021648291
2015-11-01,481.98924,92.404,0.7590079228402941
2015-12-01,502.49867,93.801,0.7508145629426685
2016-01-01,527.48519,94.73,0.7202302196479697
2016-02-01,515.30646,92.95,0.7135645446720629
2016-03-01,506.89473,93.402,0.7396421525526632
2016-04-01,470.32294,92.07,0.7675574056402432
2016-05-01,454.67577,78.464,0.7981940361221104
2016-06-01,442.38559000000004,84.366,0.7660770602095078
2016-07-01,444.00372,95.156,0.7738012508424174
2016-08-01,498.25109999999995,95.331,0.7653390004557654
2016-09-01,496.81299,98.76,0.761650949864504
2016-10-01,485.86334999999997,96.935,0.7597685500503027
2016-11-01,538.08303,99.463,0.7484725050741193
2016-12-01,533.18718,95.837,0.7462780898942438
2017-01-01,535.24438,99.165,0.7429517902537294
2017-02-01,543.30932,98.702,0.7654110803806149
2017-03-01,535.5471600000001,96.975,0.75000000001875
2017-04-01,538.54513,96.733,0.7494567122340825
2017-05-01,522.86428,98.981,0.7328684457393515
2017-06-01,526.62671,99.228,0.7402837347476333
2017-07-01,519.36648,101.123,0.7718633750438596
2017-08-01,511.51099,101.017,0.8015199837094783
2017-09-01,526.08773,101.866,0.8037761294534209
2017-10-01,519.09978,98.302,0.8038401307311056
2017-11-01,510.3582,101.67,0.7748565327733647
2017-12-01,547.1012099999999,106.358,0.7767466178425533
2018-01-01,543.8103199999999,101.606,0.797459937497138
2018-02-01,556.39504,104.553,0.8117670054492409
2018-03-01,582.3994200000001,106.848,0.777500958228529
2018-04-01,579.73159,106.955,0.7751494180808831
2018-05-01,583.61215,109.637,0.7771844035735939
2018-06-01,575.12652,109.494,0.7706379606677313
2018-07-01,572.64085,108.462,0.7549540214817849
2018-08-01,587.40975,109.928,0.7679075569440269
2018-09-01,558.56152,107.435,0.7669167983111114
2018-10-01,565.01401,110.324,0.7806551422453374
2018-11-01,600.8441700000001,108.107,0.7644256575226633
2018-12-01,599.84927,109.783,0.7514554114766852
2019-01-01,602.84895,106.01,0.7337391861420608
2019-02-01,563.33884,103.409,0.7609286898893955
2019-03-01,591.17192,108.048,0.7603366508373763
2019-04-01,600.09336,114.195,0.7487671597945423
2019-05-01,603.61212,110.894,0.7441459370040897
2019-06-01,610.6604,113.103,0.7377439629566608
2019-07-01,622.49623,109.86,0.7634198843269565
2019-08-01,596.27614,108.253,0.7558553622861176
2019-09-01,590.6279499999999,108.314,0.7528994405725038
2019-10-01,585.87022,108.976,0.7533526890913841
2019-11-01,565.1930500000001,109.386,0.7586841029735404
2019-12-01,637.14567,110.088,0.7514711919934407
2020-01-01,627.20119,109.236,0.7695574736088113
2020-02-01,649.20302,109.549,0.7555889792859173
2020-03-01,628.58529,109.25,0.7438503761065385
2020-04-01,569.55972,103.118,0.7009807063773059
2020-05-01,530.18943,99.818,0.7213636665157523
2020-06-01,537.9731700000001,100.173,0.7299711058661441
2020-07-01,574.8560799999999,97.703,0.7360189261932205
2020-08-01,560.48536,93.892,0.7452509749651419
