Date,USD Index,Total Renewable (mil kWh),Total Oil (mil kWh)
2014-12-01,90.461,22621.458,241234.861
2015-01-01,91.964,23121.050000000003,262495.608
2015-02-01,93.13799999999999,22561.316,247923.67400000003
2015-03-01,94.83200000000001,23943.307,235060.256
2015-04-01,93.80799999999999,26494.356,206973.13300000006
2015-05-01,93.17,26182.205,229263.79799999998
2015-06-01,93.959,22560.653000000002,270543.053
2015-07-01,95.544,23454.496999999996,304772.79400000005
2015-08-01,97.17200000000001,22821.393,296204.953
2015-09-01,97.66,22647.379999999997,260360.10199999998
2015-10-01,96.736,24708.023,226071.615
2015-11-01,98.21799999999999,28064.821,211412.779
2015-12-01,98.991,28601.903,225244.076
2016-01-01,101.167,26679.023999999998,252673.972
2016-02-01,99.87799999999999,28737.868,218666.863
2016-03-01,97.876,31084.071,206450.75000000003
2016-04-01,96.43299999999999,29666.445,199837.889
2016-05-01,97.495,28711.060999999998,220622.55399999997
2016-06-01,97.926,26236.361,273686.488
2016-07-01,98.463,28372.470999999998,312724.028
2016-08-01,97.69200000000001,24465.321,313363.34
2016-09-01,98.367,26529.379,259054.65600000002
2016-10-01,99.29899999999999,29748.968,221915.40799999997
2016-11-01,101.648,28819.107,202572.96000000002
2016-12-01,103.33,32582.873,240711.071
2017-01-01,103.089,29929.293,240625.257
2017-02-01,101.779,30963.819,196041.13299999997
2017-03-01,101.08,36935.258,216767.22
2017-04-01,100.085,36513.907999999996,201491.908
2017-05-01,99.53299999999999,35192.774,226275.714
2017-06-01,98.229,32774.407,258205.15899999999
2017-07-01,96.8,28588.481,304082.588
2017-08-01,95.84700000000001,26185.839999999997,285589.74600000004
2017-09-01,95.101,29297.016,238092.133
2017-10-01,96.66,35263.615999999995,216843.49
2017-11-01,96.81200000000001,32359.226000000002,208473.913
2017-12-01,96.46799999999999,32246.107,243981.348
2018-01-01,94.316,35761.701,262257.62
2018-02-01,94.721,33311.011,208114.037
2018-03-01,95.005,38255.901,215640.25699999998
2018-04-01,94.999,38503.08900000001,202469.031
2018-05-01,97.524,37268.037,233679.635
2018-06-01,99.022,38608.102,262919.143
2018-07-01,99.335,30070.548,308297.593
2018-08-01,100.281,33296.221,302050.30999999994
2018-09-01,100.262,30678.653000000002,260453.528
2018-10-01,100.913,32396.009,232546.768
2018-11-01,101.984,32077.209000000003,225605.197
2018-12-01,102.00299999999999,34065.346,235799.25600000002
2019-01-01,100.40100000000001,35344.087,247837.01399999997
2019-02-01,100.40299999999999,32754.005,215598.279
2019-03-01,100.772,38309.019,219720.51800000004
2019-04-01,100.74600000000001,42276.312000000005,190802.502
2019-05-01,101.603,39418.618,220970.75900000002
2019-06-01,101.134,37207.812000000005,244628.327
2019-07-01,100.915,36760.997,302117.271
2019-08-01,102.809,34485.162,294649.174
2019-09-01,102.766,37310.546,255713.817
2019-10-01,102.20299999999999,40190.856,218937.22500000003
2019-11-01,101.954,35696.095,216288.66
2019-12-01,101.464,36974.441000000006,226608.27399999998
